================================================================================
Active Author Analysis Report (All conferences)
================================================================================

Criteria:
  - At least 2 first OR last author positions, OR
  - At least 4 middle author positions

Total papers: 46,004
Total unique authors: 82,387
Active authors: 20,170 (24.5%)
Inactive authors: 62,217 (75.5%)

================================================================================
Active Authors (sorted by total papers)
================================================================================

Rank     Author Name                                        Total    First    Last     Middle  
4320     Sashank J. Reddi                                   10       1        1        8       
4321     Wenhao Zhan                                        10       5        0        5       
4322     Fanny Yang                                         10       0        10       0       
4323     Sayan Ranu                                         10       0        5        5       
4324     Stefan Bauer                                       10       0        3        7       
4325     Siddhartha Mishra                                  10       0        5        5       
4326     Victor Veitch                                      10       0        10       0       
4327     Xijun Li                                           10       0        0        10      
4328     Yingzhen Li                                        10       0        4        6       
4329     Mathias Lechner                                    10       0        0        10      
4330     Pascal Poupart                                     10       0        5        5       
4331     Alex Schwing                                       10       0        2        8       
4332     Jaewoong Choi                                      10       1        1        8       
4333     Yifu Yuan                                          10       3        0        7       
4334     Xinwei Sun                                         10       0        2        8       
4335     Zhang-Wei Hong                                     10       3        0        7       
4336     Romain Laroche                                     10       1        4        5       
4337     Yilun Xu                                           10       4        0        6       
4338     Samuel Holt                                        10       7        0        3       
4339     Shimon Whiteson                                    10       0        6        4       
4340     Bernd Bischl                                       10       0        2        8       
4341     Liu Ziyin                                          10       6        1        3       
4342     Qizhou Wang                                        10       6        0        4       
4343     Mark Vero                                          10       3        0        7       
4344     Shaolei Ren                                        10       0        6        4       
4345     Vardan Papyan                                      10       0        8        2       
4346     Alec Koppel                                        10       1        0        9       
4347     Xiaorui Liu                                        10       0        7        3       
4348     Zhengyuan Zhou                                     10       0        10       0       
4349     Peter Henderson                                    10       0        6        4       
4350     Bilal Piot                                         10       0        4        6       
4351     Stratis Skoulakis                                  10       0        0        10      
4352     Chunlin Chen                                       10       0        5        5       
4353     Ernest K. Ryu                                      10       0        6        4       
4354     Thomas Steinke                                     10       2        0        8       
4355     Bohang Zhang                                       10       3        0        7       
4356     Moksh Jain                                         10       1        1        8       
4357     Mirco Mutti                                        10       3        2        5       
4358     Shandian Zhe                                       10       0        7        3       
4359     Tailin Wu                                          10       1        8        1       
4360     Berk Ustun                                         10       0        7        3       
4361     Alberto Marchesi                                   10       0        0        10      
4362     Xiao-Shan Gao                                      10       0        5        5       
4363     Søren Hauberg                                      10       0        6        4       
4364     Alberto Bietti                                     10       1        6        3       
4365     Song Mei                                           10       1        4        5       
4366     Xiner Li                                           10       2        0        8       
4367     Xiyuan Wang                                        10       2        0        8       
4368     Jiachen T. Wang                                    10       4        0        6       
4369     Krzysztof Marcin Choromanski                       10       2        2        6       
4370     Aviv Tamar                                         10       0        8        2       
4371     Kwangjun Ahn                                       10       7        0        3       
4372     Ananda Theertha Suresh                             10       0        4        6       
4373     Stephen Wright                                     10       0        5        5       
4374     Joni Pajarinen                                     10       0        7        3       
4375     Aleksandra Faust                                   10       0        3        7       
4376     David Wipf                                         10       1        6        3       
4377     Vasilis Kontonis                                   10       3        0        7       
4378     Xiaoqiang Lin                                      10       4        0        6       
4379     Surbhi Goel                                        10       2        4        4       
4380     Kunal Talwar                                       10       0        9        1       
4381     Youssef Allouah                                    10       9        0        1       
4382     Giannis Daras                                      10       5        1        4       
4383     Kannan Ramchandran                                 10       0        5        5       
4384     Stefano Massaroli                                  10       1        2        7       
4385     Sitan Chen                                         10       2        4        4       
4386     Yiling Chen                                        10       2        4        4       
4387     Cong Fang                                          10       0        3        7       
4388     Ariel D. Procaccia                                 10       2        4        4       
4389     Changliang Zou                                     10       0        9        1       
4390     Anpeng Wu                                          10       3        0        7       
4391     Marco Mussi                                        10       3        0        7       
4392     Shikai Qiu                                         10       5        0        5       
4393     Sicun Gao                                          10       0        7        3       
4394     Alain Durmus                                       10       0        7        3       
4395     Marta R. Costa-jussà                               9        1        7        1       
4396     Mei Chen                                           9        0        6        3       
4397     Ziqiao Ma                                          9        2        1        6       
4398     Jena D. Hwang                                      9        0        0        9       
4399     William Held                                       9        2        0        7       
4400     Zhuo Li                                            9        4        0        5       
4401     Xiang Yin                                          9        0        1        8       
4402     Cuiping Li                                         9        0        1        8       
4403     Gargi Ghosh                                        9        0        1        8       
4404     Junhao Zheng                                       9        5        0        4       
4405     Yuhan Chen                                         9        3        0        6       
4406     Yafu Li                                            9        4        0        5       
4407     Huan Yang                                          9        0        1        8       
4408     Jianlong Fu                                        9        0        0        9       
4409     Jiacheng Ye                                        9        5        0        4       
4410     Rui Xia                                            9        0        6        3       
4411     Xinyu Dai                                          9        0        4        5       
4412     Samuel R. Bowman                                   9        0        1        8       
4413     Yue Feng                                           9        1        1        7       
4414     Amit Sharma                                        9        0        7        2       
4415     Fuzhao Xue                                         9        4        0        5       
4416     Mohammad Taher Pilehvar                            9        0        8        1       
4417     Philipp Koehn                                      9        0        4        5       
4418     Xin Yao                                            9        0        2        7       
4419     Yunlong Liang                                      9        3        0        6       
4420     Caiqi Zhang                                        9        3        0        6       
4421     Alexander Spangher                                 9        6        0        3       
4422     Zhi-Hong Deng                                      9        0        2        7       
4423     Jian Jiao                                          9        0        1        8       
4424     Jingyuan Zhang                                     9        1        0        8       
4425     Tim Vieira                                         9        2        1        6       
4426     Han Bao                                            9        1        0        8       
4427     Aram Galstyan                                      9        0        4        5       
4428     Tianxiang Sun                                      9        1        0        8       
4429     Jiahao Liu                                         9        1        0        8       
4430     Wei Zhu                                            9        2        2        5       
4431     Xiaoling Wang                                      9        0        3        6       
4432     Richard Yuanzhe Pang                               9        2        0        7       
4433     Kelong Mao                                         9        1        0        8       
4434     Bei Chen                                           9        1        0        8       
4435     Yunzhi Yao                                         9        4        0        5       
4436     Michael Zhang                                      9        4        0        5       
4437     Qianhui Wu                                         9        1        0        8       
4438     Keqing He                                          9        0        0        9       
4439     Mehran Kazemi                                      9        2        1        6       
4440     Jianzhu Bao                                        9        2        0        7       
4441     Yi Chen                                            9        2        0        7       
4442     Hwaran Lee                                         9        1        1        7       
4443     Yi Cai                                             9        2        1        6       
4444     Chengqi Zhang                                      9        0        3        6       
4445     Yiming Chen                                        9        5        0        4       
4446     Qianqian Xie                                       9        0        2        7       
4447     Tong Xu                                            9        0        2        7       
4448     Jee-Hyong Lee                                      9        0        9        0       
4449     He Zhu                                             9        3        3        3       
4450     Chong Zhang                                        9        3        1        5       
4451     Yi Cheng                                           9        1        0        8       
4452     Chuan Wang                                         9        0        1        8       
4453     Han Xiao                                           9        3        1        5       
4454     Xiaoyuan Yi                                        9        0        0        9       
4455     Yujia Qin                                          9        2        0        7       
4456     Mark Dredze                                        9        1        7        1       
4457     Ronan Le Bras                                      9        0        0        9       
4458     Niranjan Balasubramanian                           9        0        6        3       
4459     Junyi Jessy Li                                     9        0        6        3       
4460     Wei Shi                                            9        2        3        4       
4461     Bill Byrne                                         9        0        3        6       
4462     Xiaodan Zhu                                        9        0        3        6       
4463     Zhilin Wang                                        9        4        0        5       
4464     Wei Zou                                            9        0        2        7       
4465     Zilong Chen                                        9        2        0        7       
4466     Qinghua Zheng                                      9        0        3        6       
4467     Chenliang Li                                       9        1        0        8       
4468     Zhiwei Liu                                         9        1        1        7       
4469     Zichao Li                                          9        3        0        6       
4470     Zixuan Li                                          9        1        0        8       
4471     Fanqi Wan                                          9        5        0        4       
4472     Zhiyang Xu                                         9        2        0        7       
4473     Felix Petersen                                     9        6        0        3       
4474     Hyun Oh Song                                       9        0        8        1       
4475     Yuchen Hu                                          9        5        0        4       
4476     Quan Liu                                           9        3        0        6       
4477     Maxim Panov                                        9        0        3        6       
4478     Hailey Schoelkopf                                  9        0        0        9       
4479     Minghan Li                                         9        5        0        4       
4480     Riccardo Marin                                     9        1        0        8       
4481     Zhiwei Jiang                                       9        1        0        8       
4482     Kenton Lee                                         9        1        1        7       
4483     Shuo Zhang                                         9        1        0        8       
4484     Xingshan Zeng                                      9        0        0        9       
4485     Sara Papi                                          9        3        0        6       
4486     Xiaokang Chen                                      9        0        0        9       
4487     Mikel Artetxe                                      9        1        2        6       
4488     Xi Victoria Lin                                    9        1        2        6       
4489     Zhefeng Wang                                       9        0        0        9       
4490     Trevor Cohn                                        9        0        7        2       
4491     Wee Sun Lee                                        9        0        3        6       
4492     Alexander Rush                                     9        0        3        6       
4493     Archiki Prasad                                     9        4        0        5       
4494     Yutong Wang                                        9        3        1        5       
4495     Sunayana Sitaram                                   9        1        5        3       
4496     Qi Sun                                             9        5        0        4       
4497     Sheng Shen                                         9        2        0        7       
4498     Keming Lu                                          9        3        0        6       
4499     Xiusi Chen                                         9        2        0        7       
4500     Abhishek Kumar                                     9        2        3        4       
4501     Mark Gales                                         9        0        6        3       
4502     Houfeng Wang                                       9        0        7        2       
4503     Carolyn Rose                                       9        0        4        5       
4504     Russ Salakhutdinov                                 9        0        5        4       
4505     Yiqun Liu                                          9        0        5        4       
4506     Anqi Liu                                           9        0        5        4       
4507     Keyan Ding                                         9        0        0        9       
4508     Zhenda Xie                                         9        2        0        7       
4509     Yujia Zhou                                         9        2        0        7       
4510     Haochen Li                                         9        6        0        3       
4511     Zhengrui Ma                                        9        4        0        5       
4512     Ruihua Song                                        9        0        3        6       
4513     Lichen Zhang                                       9        1        8        0       
4514     Junlong Li                                         9        6        0        3       
4515     Cheng Jiayang                                      9        2        0        7       
4516     Hyungjoo Chae                                      9        4        0        5       
4517     Junting Pan                                        9        0        0        9       
4518     Dawei Li                                           9        2        0        7       
4519     Chanjun Park                                       9        1        0        8       
4520     Lei Liang                                          9        0        0        9       
4521     Yaqing Wang                                        9        0        0        9       
4522     Jihwan Bang                                        9        2        0        7       
4523     Jingyuan Chen                                      9        0        2        7       
4524     Doyoung Kim                                        9        1        0        8       
4525     Yuxia Wang                                         9        2        0        7       
4526     Chak Tou Leong                                     9        2        0        7       
4527     Zhiwei He                                          9        3        0        6       
4528     Jianing Wang                                       9        1        0        8       
4529     Hai Wu                                             9        3        0        6       
4530     Zhiyu Chen                                         9        0        3        6       
4531     Bochuan Cao                                        9        3        0        6       
4532     Radha Poovendran                                   9        0        6        3       
4533     Junwei Liang                                       9        0        5        4       
4534     Ruiqi Li                                           9        3        0        6       
4535     Ivan Srba                                          9        0        1        8       
4536     Katharina von der Wense                            9        0        6        3       
4537     Zhili Liu                                          9        2        0        7       
4538     Peter Hase                                         9        2        0        7       
4539     Justin Chen                                        9        4        0        5       
4540     Swarnadeep Saha                                    9        5        0        4       
4541     Nancy F. Chen                                      9        0        3        6       
4542     Lei Xie                                            9        0        4        5       
4543     Michael Bendersky                                  9        0        6        3       
4544     Eric Wallace                                       9        0        0        9       
4545     Jian Guo                                           9        0        5        4       
4546     De Wen Soh                                         9        0        2        7       
4547     Man Yao                                            9        3        0        6       
4548     Ziwei Ji                                           9        2        0        7       
4549     Dongsheng Wang                                     9        3        0        6       
4550     Zhengxuan Wu                                       9        6        0        3       
4551     Xuhong Zhang                                       9        0        2        7       
4552     Peiyi Wang                                         9        2        0        7       
4553     Jie Zhao                                           9        2        0        7       
4554     Yu Cao                                             9        3        0        6       
4555     Fei Li                                             9        2        0        7       
4556     Nishant Balepur                                    9        8        0        1       
4557     Xiaohua Wang                                       9        2        0        7       
4558     Huan Li                                            9        1        2        6       
4559     Ke Chen                                            9        0        0        9       
4560     Jianbo Yuan                                        9        0        0        9       
4561     Saptarshi Ghosh                                    9        1        2        6       
4562     Xinglin Wang                                       9        2        0        7       
4563     Peiwen Yuan                                        9        6        0        3       
4564     Yice Zhang                                         9        3        0        6       
4565     Yukun Yan                                          9        0        0        9       
4566     Zhao Xu                                            9        0        0        9       
4567     Jinsung Yoon                                       9        3        1        5       
4568     Mostafa Elhoushi                                   9        2        0        7       
4569     Giuseppe Attanasio                                 9        2        0        7       
4570     Yu Lu                                              9        1        0        8       
4571     Hanqing Wang                                       9        3        0        6       
4572     Yang Jin                                           9        6        0        3       
4573     Vered Shwartz                                      9        0        3        6       
4574     Shuai Yuan                                         9        3        0        6       
4575     Xuanli He                                          9        2        0        7       
4576     Yufan Zhou                                         9        3        0        6       
4577     Chenxin An                                         9        4        0        5       
4578     Shansan Gong                                       9        2        0        7       
4579     Zekun Wang                                         9        2        0        7       
4580     Mitchell Wortsman                                  9        2        0        7       
4581     Tianmin Shu                                        9        0        1        8       
4582     Smaranda Muresan                                   9        0        6        3       
4583     Chen Luo                                           9        0        1        8       
4584     Christos Faloutsos                                 9        0        5        4       
4585     Chris J. Maddison                                  9        0        5        4       
4586     Bhuwan Dhingra                                     9        0        5        4       
4587     Na Zou                                             9        0        3        6       
4588     Yun Zhu                                            9        2        0        7       
4589     Kuofeng Gao                                        9        3        0        6       
4590     Tianci Liu                                         9        5        0        4       
4591     Michael R. Lyu                                     9        0        7        2       
4592     Guohao Li                                          9        1        0        8       
4593     Yinchuan Li                                        9        1        1        7       
4594     Jinfeng Bai                                        9        0        2        7       
4595     Nitesh V Chawla                                    9        0        0        9       
4596     Shaoguang Mao                                      9        0        0        9       
4597     Jun Yin                                            9        3        0        6       
4598     Xinyu Tang                                         9        4        0        5       
4599     Zihan Liu                                          9        3        0        6       
4600     Minyi Guo                                          9        0        4        5       
4601     Jaesik Choi                                        9        0        9        0       
4602     Jiaming Ji                                         9        3        0        6       
4603     Sirui Han                                          9        0        1        8       
4604     Ziyu Zhao                                          9        2        1        6       
4605     Fangwei Zhong                                      9        2        1        6       
4606     Yuan Zhou                                          9        2        1        6       
4607     Nan Zhang                                          9        3        0        6       
4608     Zhi Li                                             9        3        0        6       
4609     Li Qing                                            9        0        3        6       
4610     Yue Chen                                           9        4        0        5       
4611     Jingyao Li                                         9        2        0        7       
4612     Youfang Lin                                        9        0        3        6       
4613     Chaochao Lu                                        9        0        5        4       
4614     Rui Lu                                             9        1        0        8       
4615     Xin Lin                                            9        3        0        6       
4616     Xiaoshuai Hao                                      9        4        1        4       
4617     Weiwen Liu                                         9        1        0        8       
4618     Tianwei Lin                                        9        2        1        6       
4619     Wanggui He                                         9        0        0        9       
4620     Ke Ma                                              9        1        0        8       
4621     Yuxuan Sun                                         9        4        0        5       
4622     Jianbin Jiao                                       9        0        1        8       
4623     Runqi Wang                                         9        4        0        5       
4624     Yi Huang                                           9        2        0        7       
4625     Kaito Ariu                                         9        1        2        6       
4626     Jinyuan Liu                                        9        2        2        5       
4627     Basura Fernando                                    9        0        1        8       
4628     Aimin Zhou                                         9        0        5        4       
4629     Jingjing Wang                                      9        2        1        6       
4630     Luca Weihs                                         9        0        2        7       
4631     Joseph Marvin Imperial                             9        3        1        5       
4632     Beyza Ermis                                        9        0        0        9       
4633     Peifeng Li                                         9        0        0        9       
4634     Xiaoshuang Shi                                     9        0        0        9       
4635     Yueze Wang                                         9        0        0        9       
4636     Trishul Chilimbi                                   9        0        6        3       
4637     Guy Van Den Broeck                                 9        0        7        2       
4638     Scott Sanner                                       9        0        6        3       
4639     Thieu Vo                                           9        2        0        7       
4640     Giorgos Stamou                                     9        0        8        1       
4641     Lei Sha                                            9        0        5        4       
4642     Yekun Chai                                         9        3        1        5       
4643     Zhengyu Chen                                       9        1        0        8       
4644     Patrick Gallinari                                  9        0        7        2       
4645     Yang Xiao                                          9        2        0        7       
4646     Chenghao Xiao                                      9        3        0        6       
4647     Zhiqiu Lin                                         9        3        0        6       
4648     Simon Stepputtis                                   9        0        0        9       
4649     Sweta Agrawal                                      9        3        0        6       
4650     Daojing He                                         9        0        0        9       
4651     Zhaowen Wang                                       9        1        1        7       
4652     Yuriy Nevmyvaka                                    9        0        3        6       
4653     Zhihong Chen                                       9        2        0        7       
4654     Aditya Akella                                      9        0        8        1       
4655     Qin Liu                                            9        5        0        4       
4656     John Collomosse                                    9        0        2        7       
4657     Gregor Bachmann                                    9        3        0        6       
4658     Dongsoo Lee                                        9        0        7        2       
4659     Tao Ge                                             9        2        0        7       
4660     Weizhong Zhang                                     9        1        2        6       
4661     Dani Lischinski                                    9        0        2        7       
4662     Asuman E. Ozdaglar                                 9        1        4        4       
4663     Xingchen Wan                                       9        4        0        5       
4664     Yuxuan Chen                                        9        0        0        9       
4665     Vaishaal Shankar                                   9        0        1        8       
4666     Hadi Pouransari                                    9        1        2        6       
4667     Zijian Zhou                                        9        5        0        4       
4668     Xiaoxuan Ma                                        9        1        0        8       
4669     Qian Lou                                           9        1        4        4       
4670     Seokju Cho                                         9        4        0        5       
4671     Xingchao Liu                                       9        2        1        6       
4672     Peizhao Zhang                                      9        0        0        9       
4673     Lihe Yang                                          9        5        0        4       
4674     Tianyuan Zhang                                     9        3        0        6       
4675     Lanyun Zhu                                         9        6        0        3       
4676     Bryan Russell                                      9        0        4        5       
4677     Ruihuang Li                                        9        3        0        6       
4678     Yabin Zhang                                        9        3        0        6       
4679     Boxi Wu                                            9        0        0        9       
4680     Jianwen Jiang                                      9        2        0        7       
4681     Mikaela Angelina Uy                                9        2        0        7       
4682     Zhenglun Kong                                      9        0        0        9       
4683     Caiwen Ding                                        9        0        4        5       
4684     Ruizhi Shao                                        9        2        0        7       
4685     Kuan-Chieh Wang                                    9        1        0        8       
4686     Zizheng Pan                                        9        3        0        6       
4687     Zijian He                                          9        2        0        7       
4688     Timo Bolkart                                       9        1        3        5       
4689     Sergey Prokudin                                    9        1        0        8       
4690     Zhengqi Li                                         9        3        0        6       
4691     Jiri Matas                                         9        0        5        4       
4692     Matthias Minderer                                  9        1        1        7       
4693     Jiacheng Li                                        9        3        0        6       
4694     Rui Huang                                          9        2        1        6       
4695     Quan Kong                                          9        1        0        8       
4696     Huanrui Yang                                       9        1        0        8       
4697     Yun-Hui Liu                                        9        0        6        3       
4698     Chen-Wei Xie                                       9        2        0        7       
4699     Adams Wai-Kin Kong                                 9        0        8        1       
4700     Baoquan Chen                                       9        0        7        2       
4701     Ji Liu                                             9        1        0        8       
4702     Tian Gao                                           9        1        0        8       
4703     Chenxi Liu                                         9        4        0        5       
4704     Dongze Lian                                        9        1        0        8       
4705     Jinyoung Park                                      9        5        0        4       
4706     Rui Feng                                           9        1        1        7       
4707     Minghao Chen                                       9        4        0        5       
4708     Juan Cao                                           9        0        3        6       
4709     Qiang Zhou                                         9        1        0        8       
4710     Jianhuang Lai                                      9        0        3        6       
4711     Matthew Trager                                     9        1        0        8       
4712     Ce Liu                                             9        2        0        7       
4713     Yang Bai                                           9        2        1        6       
4714     Guangyao Zhai                                      9        2        0        7       
4715     Shan Zhang                                         9        2        0        7       
4716     Jimei Yang                                         9        0        1        8       
4717     Jiahui Zhang                                       9        4        0        5       
4718     Ahmet Iscen                                        9        2        1        6       
4719     Seoung Wug Oh                                      9        0        0        9       
4720     Ying Jin                                           9        2        0        7       
4721     Yuanbo Xiangli                                     9        2        0        7       
4722     Mahdi Soltanolkotabi                               9        0        3        6       
4723     Tianyu Luan                                        9        3        0        6       
4724     Guo-Jun Qi                                         9        0        1        8       
4725     Yuchen Yang                                        9        4        0        5       
4726     Xinglong Wu                                        9        0        3        6       
4727     Yuliang Xiu                                        9        1        2        6       
4728     Xu Cao                                             9        5        0        4       
4729     Daniel Ritchie                                     9        0        6        3       
4730     Weisheng Dong                                      9        0        0        9       
4731     Jiahao Zhang                                       9        5        2        2       
4732     Haoxuan Qu                                         9        4        0        5       
4733     Min H. Kim                                         9        0        7        2       
4734     Xu Jia                                             9        0        3        6       
4735     Eshed Ohn-Bar                                      9        0        7        2       
4736     Runsheng Xu                                        9        1        0        8       
4737     Yilong Yin                                         9        0        5        4       
4738     Qi Ye                                              9        0        1        8       
4739     Li Song                                            9        0        4        5       
4740     Can Zhang                                          9        3        0        6       
4741     Congying Han                                       9        0        0        9       
4742     Tiande Guo                                         9        0        1        8       
4743     Le Hui                                             9        1        0        8       
4744     Rishabh Dabral                                     9        1        0        8       
4745     Wei Ke                                             9        0        2        7       
4746     Julien Mairal                                      9        0        3        6       
4747     Chuxin Wang                                        9        3        0        6       
4748     Tom Gedeon                                         9        0        2        7       
4749     Tobias Fischer                                     9        3        0        6       
4750     Yue Liao                                           9        0        0        9       
4751     Jianan Li                                          9        3        6        0       
4752     Steven L. Waslander                                9        0        5        4       
4753     Zhengqin Xu                                        9        0        0        9       
4754     Pietro Perona                                      9        0        5        4       
4755     Stefan Lee                                         9        0        5        4       
4756     Jesse Thomason                                     9        0        3        6       
4757     Björn Deiseroth                                    9        3        0        6       
4758     Natalia Neverova                                   9        0        1        8       
4759     Lijun Yu                                           9        3        0        6       
4760     Guolei Sun                                         9        1        0        8       
4761     Deng-Ping Fan                                      9        0        2        7       
4762     Jiangbo Lu                                         9        0        7        2       
4763     Rio Yokota                                         9        0        1        8       
4764     Eli Shlizerman                                     9        0        5        4       
4765     Qianyu Zhou                                        9        2        0        7       
4766     Imari Sato                                         9        0        7        2       
4767     Inwoo Hwang                                        9        5        0        4       
4768     Zhen Xing                                          9        3        0        6       
4769     Ashok Veeraraghavan                                9        0        1        8       
4770     Ruijie Quan                                        9        2        0        7       
4771     Shuchang Zhou                                      9        0        4        5       
4772     Karttikeya Mangalam                                9        0        2        7       
4773     Kumar Ashutosh                                     9        6        0        3       
4774     Miaomiao Liu                                       9        0        6        3       
4775     Jie Qin                                            9        1        3        5       
4776     Huan Xiong                                         9        0        3        6       
4777     Jaskirat Singh                                     9        4        0        5       
4778     Zhibo Wang                                         9        2        0        7       
4779     Si Li                                              9        0        1        8       
4780     Guan Huang                                         9        1        0        8       
4781     Zheng Qin                                          9        3        0        6       
4782     Fang Wan                                           9        0        5        4       
4783     Ju He                                              9        2        0        7       
4784     Yehao Li                                           9        0        0        9       
4785     Kwan-Yee Lin                                       9        1        3        5       
4786     Taesung Park                                       9        0        4        5       
4787     Yawei Luo                                          9        0        2        7       
4788     Zheng Ding                                         9        4        0        5       
